id,points,question,code sample,answer
Q002,1,What types of variables are these?,"int, double, boolean",primitives
Q003,4,If an initial value is not provided - To what values are these variables initialized?,"int i;
double d;
boolean b;
String s;","0
0.0
false
null"
Q004,1,Methods and properties that you can access as members of a Class (rather than an instance) are called?,"Math.abs()
String.valueOf()
Integer.MAX_VALUE",statics
Q005,1,What keyword is used to indicate that a variable is a constant value that cannot change?,,final
Q006,4,What are the results of these operations?,"10 / 2
15 / 2.0
23 % 10
(10 / 2) + (15 / 2.0) - (23 % 10)","5
7.5
3
9.5"
Q007,4,What are the results of these operations?,"""Hello"" + "" "" + ""Bob""
""Test Score: "" + 93
""Area Code: "" + ""415""
""Voting Age: "" + 20 + 1","Hello Bob
Test Score: 93
Area Code: 415
Voting Age: 201"
Q008,2,What are two other ways to write this expression?,x++,"x = x + 1
x += 1"
Q009,1,What is the result of this operation?,(int) 2.125 + (double) 13,"""15.0"""
Q010,1,"A ""blueprint"" from which you can create an instance is called?",,class
Q011,1,The method in a class that determines how to initialize the class is called?,,constructor
Q012,1,Having multiple methods in a class with the same name (but different arguments) is called?,"public int getTotal()
public int getTotal(int num)
public int getTotal(int[] scores)",overloading
Q013,1,"Having a method in a child class with the same name, arguments, and return type as a method in a parent class is called?",,overriding
Q014,1,True or False: A constructor requires arguments?,,FALSE
Q015,1,True or False: A class can have multiple constructors?,,TRUE
Q016,1,If a class does not define a constructor - What does Java create?,,defult constructor
Q018,1,What exception is thrown if your code attempts to access an uninitialized Object-type variable,,NullPointerException
Q019,1,Methods are required to have a return type - What type is used if a Method does not return anything?,,void
Q020,1,"What keyword is used to indicate ""the current Object instance""",,this
Q021,1,There are multiple ways to determine if a String has nothing in it - Name one of them.,,"s.length() == 0
s.isEmpty()
s.equals("""")
s.compareTo("""") == 0"
Q022,1,The contents of a String cannot change - This kind of Object is called?,,immutable
Q023,4,What is the output of this block of code,"if (true) {
  System.out.println(""A"");
  System.out.println(""B"");
  if (false)
    System.out.println(""C"");
  else
    if (false)
      System.out.println(""E"");
      System.out.println(""F"");
} else
  System.out.println(""G"");
  System.out.println(""H"");","A
B
F
H"
Q024,4,What is the two-variable boolean truth table for &&,"| p | q | p && q|
|   |   |       |
|   |   |       |
|   |   |       |
|   |   |       |","| p | q | p && q|
|  true |  true|  true|
|  true |  false | false |
|  false | true  | false |
|  false|  false |  false|"
Q025,4,What is the two-variable boolean truth table for ||,"| p | q | p || q|
|   |   |       |
|   |   |       |
|   |   |       |
|   |   |       |","| p | q | p && q|
|  true |  true|  true|
|  true |  false | true |
|  false | true  | true |
|  false|  false |  false|"
Q026,2,What is the one-variable boolean truth table for !,"| p | !p|
|   |   | 
|   |   |
","| p | !p|
|true  | false | 
|  false | true |
"
Q027,1,In this compound boolean expressions - What value of b will cause Java to short-circuit and not evaluate c and d?,a && b && c && d,FALSE
Q028,1,In this compound boolean expressions - What value of b will cause Java to short-circuit and not evaluate c and d?,a || b || c || d,TRUE
Q029,1,DeMorgans Law: What expression is equivalent to,!(a && b),!a || !b
Q030,1,DeMorgans Law: What expression is equivalent to,!(a || b),!a && !b
Q031,1,What looping expression guarantees that an expression will be executed at least one time?,,do-while
Q032,1,What keyword is used to exit a loop (but not the Method)?,,break
Q033,1,What keyword is used to exit a loop and the Method?,,return
Q034,1,What keyword is used to go to the next iteration of the loop?,,continue
Q035,2,Given a String s1 - What is the smallest and highest index that can be passed to s1.charAt() without throwing an exception?,,"0
s1.length-1"
Q036,1,Methods and properties of a class - that are only accessed by that class - should be decorated with what keyword?,,private
Q037,1,Methods and properties of a class - that can be accessed by any other code - should be decorated with what keyword?,,public
