ranking,lon,lat,company,industry,state,city
1,-94.2088,36.3729,Walmart,General Merchandisers,AR,Bentonville
2,-96.9489,32.814,Exxon Mobil,Petroleum Refining,TX,Irving
3,-121.978,37.7799,Chevron,Petroleum Refining,CA,San Ramon
4,-95.998,41.2524,Berkshire Hathaway,Insurance: Property and Casualty (Stock),NE,Omaha
5,-122.032,37.323,Apple,Computers  Office Equipment,CA,Cupertino
6,-83.0458,42.3314,General Motors,Motor Vehicles and Parts,MI,Detroit
7,-95.3698,29.7604,Phillips 66,Petroleum Refining,TX,Houston
8,-73.2613,41.1408,General Electric,Diversified Financials,CT,Fairfield
9,-83.1763,42.3223,Ford Motor,Motor Vehicles and Parts,MI,Dearborn
10,-71.5148,42.0029,CVS Health,Food and Drug Stores,RI,Woonsocket
11,-122.419,37.7749,McKesson,Wholesalers: Health Care,CA,San Francisco
12,-96.797,32.7767,AT&T,Telecommunications,TX,Dallas
13,-98.4936,29.4241,Valero Energy,Petroleum Refining,TX,San Antonio
14,-93.4687,44.9212,UnitedHealth Group,Health Care: Insurance and Managed Care,MN,Minnetonka
15,-74.0059,40.7128,Verizon,Telecommunications,NY,New York
16,-75.4591,40.0757,AmerisourceBergen,Wholesalers: Health Care,PA,Chesterbrook
17,-77.0369,38.9072,Fannie Mae,Diversified Financials,DC,Washington
18,-122.033,47.5301,Costco,Specialty Retailers: Other,WA,Issaquah
19,-122.143,37.4419,HP,Computers  Office Equipment,CA,Palo Alto
20,-84.512,39.1031,Kroger,Food and Drug Stores,OH,Cincinnati
21,-74.0059,40.7128,JP Morgan Chase,Commercial Banks,NY,New York
22,-90.1994,38.627,Express Scripts Holding,Health Care: Pharmacy and Other Services,MO,St. Louis
23,-80.8431,35.2271,Bank of America Corp.,Commercial Banks,NC,Charlotte
24,-73.714,41.1265,IBM,Information Technology Services,NY,Armonk
25,-83.6499,41.0442,Marathon Petroleum,Petroleum Refining,OH,Findlay
26,-83.1141,40.0992,Cardinal Health,Wholesalers: Health Care,OH,Dublin
27,-87.6298,41.8781,Boeing,Aerospace and Defense,IL,Chicago
28,-74.0059,40.7128,Citigroup,Commercial Banks,NY,New York
29,-122.332,47.6062,Amazon.com,Internet Services and Retailing,WA,Seattle
30,-122.419,37.7749,Wells Fargo,Commercial Banks,CA,San Francisco
31,-122.122,47.674,Microsoft,Computer Software,WA,Redmond
32,-84.512,39.1031,Procter & Gamble,Household and Personal Products,OH,Cincinnati
33,-84.388,33.749,Home Depot,Specialty Retailers: Other,GA,Atlanta
34,-87.6298,41.8781,Archer Daniels Midland,Food Production,IL,Chicago
35,-87.8445,42.1711,Walgreens,Food and Drug Stores,IL,Deerfield
36,-93.265,44.9778,Target,General Merchandisers,MN,Minneapolis
37,-74.4518,40.4862,Johnson & Johnson,Pharmaceuticals,NJ,New Brunswick
38,-86.1581,39.7684,Anthem,Health Care: Insurance and Managed Care,IN,Indianapolis
39,-74.0059,40.7128,MetLife,Insurance: Life  Health (stock),NY,New York
40,-122.084,37.3861,Google,Internet Services and Retailing,CA,Mountain View
41,-88.9937,40.4842,State Farm Insurance Cos.,Insurance: Property and Casualty (Mutual),IL,Bloomington
42,-77.1773,38.9339,Freddie Mac,Diversified Financials,VA,McLean
43,-75.1652,39.9526,Comcast,Telecommunications,PA,Philadelphia
44,-73.7146,41.0409,PepsiCo,Food Consumer Products,NY,Purchase
45,-72.6851,41.7637,United Technologies,Aerospace and Defense,CT,Hartford
46,-74.0059,40.7128,AIG,Insurance: Property and Casualty (Stock),NY,New York
47,-84.388,33.749,UPS,Mail  Package  and Freight Delivery,GA,Atlanta
48,-84.2472,43.6156,Dow Chemical,Chemicals,MI,Midland
49,-72.6851,41.7637,Aetna,Health Care: Insurance and Managed Care,CT,Hartford
50,-80.8101,35.5849,Lowe's,Specialty Retailers: Other,NC,Mooresville
51,-95.3698,29.7604,ConocoPhillips,Mining  Crude-Oil Production,TX,Houston
52,-121.955,37.3541,Intel,Semiconductors and Other Electronic Components,CA,Santa Clara
53,-96.797,32.7767,Energy Transfer Equity,Pipelines,TX,Dallas
54,-89.589,40.6936,Caterpillar,Construction and Farm Machinery,IL,Peoria
55,-74.1724,40.7357,Prudential Financial,Insurance: Life  Health (stock),NJ,Newark
56,-74.0059,40.7128,Pfizer,Pharmaceuticals,NY,New York
57,-118.309,34.1808,Disney,Entertainment,CA,Burbank
58,-85.7585,38.2527,Humana,Health Care: Insurance and Managed Care,KY,Louisville
59,-95.3698,29.7604,Enterprise Products Partners,Pipelines,TX,Houston
60,-121.886,37.3382,Cisco Systems,Network and Other Communications Equipment,CA,San Jose
61,-95.3698,29.7604,Sysco,Wholesalers: Food and Grocery,TX,Houston
62,-117.868,33.7456,Ingram Micro,Wholesalers: Electronics and Office Equipment,CA,Santa Ana
63,-84.388,33.749,Coca-Cola,Beverages,GA,Atlanta
64,-77.0947,38.9847,Lockheed Martin,Aerospace and Defense,MD,Bethesda
65,-90.049,35.1495,FedEx,Mail  Package  and Freight Delivery,TN,Memphis
